id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,topics,difficulty,difficulty_score,estimated_time_seconds
ds-e-1,Which data structure follows the Last In First Out (LIFO) principle?,Queue,Stack,Linked List,Hash Table,Stack,A stack removes the most recently added element first — this is the LIFO property.,Data Structures,easy,2,20
ds-e-2,In a singly linked list each node contains data and what else?,A pointer to the previous node,A pointer to the next node,The total size of the list,A sorted index,A pointer to the next node,Each node in a singly linked list stores data and a reference (pointer) to the next node in the sequence.,Data Structures,easy,2,20
ds-e-3,What is the maximum number of children a node can have in a binary tree?,1,2,3,Unlimited,2,By definition a binary tree node has at most two children: a left child and a right child.,Data Structures,easy,1,15
ds-e-4,Which data structure uses First In First Out (FIFO) ordering?,Stack,Queue,Binary Tree,Hash Map,Queue,A queue processes elements in the order they were added — the first element enqueued is the first dequeued.,Data Structures,easy,2,20
ds-e-5,What does a hash table use to map keys to array indices?,Sorting algorithm,Hash function,Binary search,Linked list traversal,Hash function,A hash function computes an index from the key so the value can be stored and retrieved in near-constant time.,Data Structures,easy,2,20
ds-e-6,Which traversal visits the root node before its subtrees?,In-order,Post-order,Pre-order,Level-order,Pre-order,Pre-order traversal visits the root first then recursively visits the left subtree followed by the right subtree.,Data Structures,easy,2,20
ds-e-7,What is the time complexity of accessing an element by index in an array?,O(1),O(log n),O(n),O(n²),O(1),Arrays support constant-time random access because elements are stored in contiguous memory locations.,Data Structures,easy,1,15
ds-m-1,What is the worst-case time complexity of inserting into a hash table with chaining?,O(1),O(log n),O(n),O(n log n),O(n),If all keys hash to the same bucket the chain becomes a linked list of length n so insertion degrades to O(n).,Data Structures,medium,5,30
ds-m-2,Which self-balancing BST guarantees O(log n) height by enforcing a color invariant on every node?,B-Tree,AVL Tree,Red-Black Tree,Splay Tree,Red-Black Tree,A Red-Black Tree colors every node red or black and enforces rules that keep the longest path at most twice the shortest guaranteeing O(log n) height.,Data Structures,medium,5,35
ds-m-3,In a min-heap which element is always at the root?,The largest element,The median element,The smallest element,The most recently inserted element,The smallest element,A min-heap maintains the heap property: every parent is less than or equal to its children so the minimum is always at the root.,Data Structures,medium,4,25
ds-m-4,What is the amortized time complexity of appending to a dynamic array that doubles in size when full?,O(1),O(log n),O(n),O(n²),O(1),Although individual resizes cost O(n) they happen rarely enough that the amortized cost per append is O(1).,Data Structures,medium,5,30
ds-m-5,Which data structure is best suited for implementing an LRU cache?,Array,Stack,HashMap + Doubly Linked List,Binary Search Tree,HashMap + Doubly Linked List,An LRU cache needs O(1) lookup (hash map) and O(1) insertion/removal of the least-recently-used item (doubly linked list).,Data Structures,medium,6,35
ds-m-6,What is the space complexity of storing a graph with V vertices and E edges using an adjacency list?,O(V²),O(V + E),O(E²),O(V × E),O(V + E),An adjacency list stores a list of neighbors for each vertex using O(V) vertex entries plus O(E) edge entries total.,Data Structures,medium,5,30
ds-m-7,After deleting the root of a max-heap how is the heap property restored?,Insert a new root,Swap root with last element then heapify down,Rebuild the entire heap,Sort the array,Swap root with last element then heapify down,The last element replaces the root then sift-down (heapify) swaps it with its larger child repeatedly until the max-heap property holds.,Data Structures,medium,6,35
ds-h-1,A Bloom filter may return false positives but never false negatives. Why is this the case?,It stores all elements explicitly,It uses multiple hash functions mapping to a bit array,It uses a sorted array with binary search,It discards elements after a timeout,It uses multiple hash functions mapping to a bit array,A Bloom filter sets bits at multiple hash positions. A lookup checks all positions — an absent element may collide with bits set by other elements (false positive) but a present element always has all its bits set (no false negative).,Data Structures,hard,8,45
ds-h-2,What is the time complexity of building a binary heap from an unsorted array using the bottom-up method?,O(n log n),O(n²),O(n),O(log n),O(n),Bottom-up heap construction calls heapify on each non-leaf node. The total work sums to O(n) because most nodes are near the bottom and require few swaps.,Data Structures,hard,8,40
ds-h-3,In a B-tree of minimum degree t what is the maximum number of keys a node can hold?,t,t − 1,2t,2t − 1,2t − 1,A B-tree node of minimum degree t can hold at most 2t − 1 keys and 2t children. This keeps the tree balanced and optimizes disk reads.,Data Structures,hard,9,45
ds-h-4,Which data structure supports union and find operations in nearly O(1) amortized time using path compression and union by rank?,Balanced BST,Trie,Disjoint Set (Union-Find),Skip List,Disjoint Set (Union-Find),Union-Find with path compression and union by rank achieves an amortized time complexity of O(α(n)) per operation where α is the inverse Ackermann function — effectively constant.,Data Structures,hard,9,45
ds-h-5,What problem does a skip list solve compared to a standard sorted linked list?,Constant-time deletion,O(log n) expected search time,O(1) insertion at any position,Guaranteed worst-case O(1) access,O(log n) expected search time,A skip list adds multiple levels of forward pointers to a sorted linked list enabling binary-search-like behavior with O(log n) expected time for search insert and delete.,Data Structures,hard,8,40
ds-h-6,In a segment tree built over an array of n elements how many nodes does the tree contain in the worst case?,n,2n,2n − 1,4n,4n,A segment tree is typically allocated as a complete binary tree. For n elements the array representation may need up to 4n nodes to handle non-power-of-two sizes safely.,Data Structures,hard,9,45
ds-h-7,What is the key advantage of a Fibonacci heap over a binary heap for Dijkstra's algorithm?,Simpler implementation,O(1) amortized decrease-key,O(1) worst-case extract-min,Lower space usage,O(1) amortized decrease-key,Fibonacci heaps support decrease-key in O(1) amortized time reducing Dijkstra's total complexity to O(V log V + E) compared to O((V+E) log V) with a binary heap.,Data Structures,hard,10,50
